Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
65014,12/1/2019,Shopping Morumbi,Sunga Listrado,5,R$ 114.00,R$ 570.00
65014,12/1/2019,Shopping Morumbi,Casaco Listrado,1,R$ 269.00,R$ 269.00
65016,12/1/2019,Iguatemi Campinas,Sapato Listrado,2,R$ 363.00,R$ 726.00
65016,12/1/2019,Iguatemi Campinas,Casaco,1,R$ 250.00,R$ 250.00
65017,12/1/2019,Shopping SP Market,Gorro Liso,3,R$ 92.00,R$ 276.00
65018,12/1/2019,Rio Mar Shopping Fortaleza,Cueca Estampa,1,R$ 66.00,R$ 66.00
65018,12/1/2019,Rio Mar Shopping Fortaleza,Sunga Xadrez,1,R$ 116.00,R$ 116.00
65018,12/1/2019,Rio Mar Shopping Fortaleza,Casaco Listrado,1,R$ 269.00,R$ 269.00
65019,12/1/2019,Shopping União de Osasco,Polo Xadrez,2,R$ 142.00,R$ 284.00
65019,12/1/2019,Shopping União de Osasco,Tênis Linho,1,R$ 294.00,R$ 294.00
65020,12/1/2019,Shopping Morumbi,Pulseira Listrado,4,R$ 79.00,R$ 316.00
65020,12/1/2019,Shopping Morumbi,Camiseta Xadrez,5,R$ 200.00,"R$ 1,000.00"
65020,12/1/2019,Shopping Morumbi,Camisa Listrado,2,R$ 108.00,R$ 216.00
65024,12/1/2019,Passei das Águas Shopping,Camiseta Estampa,2,R$ 196.00,R$ 392.00
65025,12/1/2019,Shopping Ibirapuera,Calça Xadrez,5,R$ 185.00,R$ 925.00
65025,12/1/2019,Shopping Ibirapuera,Short Listrado,1,R$ 102.00,R$ 102.00
65025,12/1/2019,Shopping Ibirapuera,Meia Listrado,1,R$ 37.00,R$ 37.00
65027,12/1/2019,Norte Shopping,Relógio Listrado,1,R$ 218.00,R$ 218.00
65028,12/1/2019,Iguatemi Campinas,Sapato,5,R$ 350.00,"R$ 1,750.00"
65028,12/1/2019,Iguatemi Campinas,Pulseira Xadrez,1,R$ 87.00,R$ 87.00
65030,12/1/2019,Shopping Iguatemi Fortaleza,Relógio Liso,1,R$ 216.00,R$ 216.00
65030,12/1/2019,Shopping Iguatemi Fortaleza,Camisa Gola V Xadrez,1,R$ 107.00,R$ 107.00
65031,12/1/2019,Shopping Center Interlagos,Meia Liso,4,R$ 38.00,R$ 152.00
65032,12/1/2019,Shopping Iguatemi Fortaleza,Sunga,2,R$ 100.00,R$ 200.00
65032,12/1/2019,Shopping Iguatemi Fortaleza,Pulseira Estampa,3,R$ 87.00,R$ 261.00
65033,12/1/2019,Iguatemi Campinas,Casaco Estampa,1,R$ 256.00,R$ 256.00
65034,12/1/2019,Shopping Vila Velha,Camisa Gola V Liso,4,R$ 118.00,R$ 472.00
65034,12/1/2019,Shopping Vila Velha,Sapato Linho,5,R$ 391.00,"R$ 1,955.00"
65036,12/1/2019,Rio Mar Recife,Calça,1,R$ 170.00,R$ 170.00
65037,12/1/2019,Parque Dom Pedro Shopping,Terno Xadrez,1,R$ 709.00,R$ 709.00
65037,12/1/2019,Parque Dom Pedro Shopping,Gorro Xadrez,1,R$ 85.00,R$ 85.00
65037,12/1/2019,Parque Dom Pedro Shopping,Cueca Xadrez,1,R$ 60.00,R$ 60.00
65037,12/1/2019,Parque Dom Pedro Shopping,Calça Linho,1,R$ 211.00,R$ 211.00
65037,12/1/2019,Parque Dom Pedro Shopping,Camisa Gola V,5,R$ 100.00,R$ 500.00
65038,12/1/2019,Shopping Iguatemi Fortaleza,Sunga Linho,5,R$ 149.00,R$ 745.00
65039,12/1/2019,Rio Mar Shopping Fortaleza,Mochila,2,R$ 270.00,R$ 540.00
65040,12/1/2019,Shopping Morumbi,Sunga Xadrez,1,R$ 116.00,R$ 116.00
65040,12/1/2019,Shopping Morumbi,Gorro Estampa,4,R$ 93.00,R$ 372.00
65043,12/1/2019,Palladium Shopping Curitiba,Casaco,1,R$ 250.00,R$ 250.00
65043,12/1/2019,Palladium Shopping Curitiba,Short Xadrez,1,R$ 100.00,R$ 100.00
65043,12/1/2019,Palladium Shopping Curitiba,Calça,5,R$ 170.00,R$ 850.00
65043,12/1/2019,Palladium Shopping Curitiba,Meia Xadrez,3,R$ 41.00,R$ 123.00
